,Name,Location,Company Size,Company Type
73,WCS India Private Limited,Gurgaon,"Company size
11-50 employees","Industry
KPO/Research"
74,Interactive Book Services Private Limited,Faridabad,"Company size
11-50 employees","Industry
KPO/Research"
75,Quinfy Technology Pvt Ltd,Gurgaon,"Company size
11-50 employees","Industry
KPO/Research"
76,Frequent Research Fieldwork Solutions Private Limited,Delhi,"Company size
11-50 employees","Industry
KPO/Research"
77,Provectus CorpAdvisors,Ahmedabad,"Company size
11-50 employees","Industry
KPO/Research"
78,Dhvani Analytic Intelligence Private Limited,Chennai,"Company size
11-50 employees","Industry
KPO/Research"
79,Quaintel Research Solutions Private Limited,Bangalore,"Company size
11-50 employees","Industry
KPO/Research"
80,99TPA Advisory India Pvt Ltd,Durgapur,"Company size
11-50 employees","Industry
KPO/Research"
81,Sunworks Consultants Private Limited,Delhi,"Company size
11-50 employees","Industry
KPO/Research"
82,Naikan Institute Of Behavioral Services Private Limited,Delhi,"Company size
11-50 employees","Industry
KPO/Research"
83,Vidya Reckon Solutions Private Limited,Kolkata,"Company size
11-50 employees","Industry
KPO/Research"
84,Edurishi Eduventures Private Limited,Pune,"Company size
11-50 employees","Industry
KPO/Research"
85,CADBricks Private Limited,Ahmedabad,"Company size
11-50 employees","Industry
KPO/Research"
86,Nine Plus Dataworks,Gurugram Sub-District,"Company size
11-50 employees","Industry
KPO/Research"
87,VirtualTeam FinServ,Delhi,"Company size
11-50 employees","Industry
KPO/Research"
88,Digital Media LLP,Ahmedabad,"Company size
11-50 employees","Industry
KPO/Research"
89,SR Asia,Ghaziabad,"Company size
11-50 employees","Industry
KPO/Research"
90,IFOREST,Noida,"Company size
11-50 employees","Industry
KPO/Research"
91,Darrels AM Research And Reverse Engineering Labs Private Limited,Nagercoil,"Company size
11-50 employees","Industry
KPO/Research"
92,Life Saving Organization,Bhopal,"Company size
11-50 employees","Industry
KPO/Research"
93,EXPERIQS PRIVATE LIMITED,Mumbai,"Company size
11-50 employees","Industry
KPO/Research"
94,ReportsInsights Consulting Pvt Ltd,Pune,"Company size
11-50 employees","Industry
KPO/Research"
95,Ktechnologiees LLC,Ahmedabad,"Company size
11-50 employees","Industry
KPO/Research"
96,Research Connect,Mumbai,"Company size
11-50 employees","Industry
KPO/Research"
